date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1985-06-26,MyTho,10.36,106.36,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-07-16,MyTho,10.36,106.36,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-08-15,MyTho,10.36,106.36,16.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-09-19,MyTho,10.36,106.36,12.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-10-15,MyTho,10.36,106.36,15.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-11-15,MyTho,10.36,106.36,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-12-17,MyTho,10.36,106.36,13.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-01-15,MyTho,10.36,106.36,8.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-02-15,MyTho,10.36,106.36,8.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-03-14,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-04-14,MyTho,10.36,106.36,24.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-05-15,MyTho,10.36,106.36,24.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-06-15,MyTho,10.36,106.36,16.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-07-15,MyTho,10.36,106.36,11.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-08-14,MyTho,10.36,106.36,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-09-14,MyTho,10.36,106.36,10.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-10-14,MyTho,10.36,106.36,13.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-11-14,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-12-14,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-01-15,MyTho,10.36,106.36,13.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-02-15,MyTho,10.36,106.36,20.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-03-15,MyTho,10.36,106.36,19.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-04-15,MyTho,10.36,106.36,353.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-05-15,MyTho,10.36,106.36,480.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-06-15,MyTho,10.36,106.36,79.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-07-15,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-08-14,MyTho,10.36,106.36,15.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-09-15,MyTho,10.36,106.36,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-10-15,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-11-15,MyTho,10.36,106.36,55.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-12-15,MyTho,10.36,106.36,18.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-01-15,MyTho,10.36,106.36,16.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-02-15,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-03-15,MyTho,10.36,106.36,19.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-04-15,MyTho,10.36,106.36,797.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-05-15,MyTho,10.36,106.36,45.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-06-15,MyTho,10.36,106.36,34.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-07-15,MyTho,10.36,106.36,19.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-08-15,MyTho,10.36,106.36,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-09-15,MyTho,10.36,106.36,15.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-10-15,MyTho,10.36,106.36,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-11-15,MyTho,10.36,106.36,12.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-12-15,MyTho,10.36,106.36,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-01-14,MyTho,10.36,106.36,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-02-15,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-03-15,MyTho,10.36,106.36,48.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-04-14,MyTho,10.36,106.36,38.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-05-15,MyTho,10.36,106.36,32.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-06-15,MyTho,10.36,106.36,19.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-07-14,MyTho,10.36,106.36,26.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
