date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1985-05-15,TanChau,10.804,105.234,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-06-26,TanChau,10.804,105.234,7.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-07-16,TanChau,10.804,105.234,9.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-08-15,TanChau,10.804,105.234,11.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-09-19,TanChau,10.804,105.234,11.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-10-15,TanChau,10.804,105.234,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-11-15,TanChau,10.804,105.234,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1985-12-17,TanChau,10.804,105.234,13.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-01-14,TanChau,10.804,105.234,13.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-02-15,TanChau,10.804,105.234,8.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-03-14,TanChau,10.804,105.234,17.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-04-14,TanChau,10.804,105.234,20.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-05-15,TanChau,10.804,105.234,21.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-06-15,TanChau,10.804,105.234,13.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-07-15,TanChau,10.804,105.234,12.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-08-14,TanChau,10.804,105.234,9.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-09-14,TanChau,10.804,105.234,8.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-10-14,TanChau,10.804,105.234,10.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-11-14,TanChau,10.804,105.234,10.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1986-12-14,TanChau,10.804,105.234,11.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-01-14,TanChau,10.804,105.234,13.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-02-14,TanChau,10.804,105.234,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-03-14,TanChau,10.804,105.234,17.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-04-14,TanChau,10.804,105.234,19.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-05-14,TanChau,10.804,105.234,20.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-06-14,TanChau,10.804,105.234,21.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-07-14,TanChau,10.804,105.234,8.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-08-14,TanChau,10.804,105.234,22.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-09-14,TanChau,10.804,105.234,10.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-10-14,TanChau,10.804,105.234,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-11-14,TanChau,10.804,105.234,14.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1987-12-14,TanChau,10.804,105.234,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-01-14,TanChau,10.804,105.234,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-02-14,TanChau,10.804,105.234,16.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-03-14,TanChau,10.804,105.234,18.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-04-14,TanChau,10.804,105.234,21.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-05-14,TanChau,10.804,105.234,22.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-06-14,TanChau,10.804,105.234,13.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-07-14,TanChau,10.804,105.234,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-08-14,TanChau,10.804,105.234,10.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-09-14,TanChau,10.804,105.234,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-10-14,TanChau,10.804,105.234,9.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-11-14,TanChau,10.804,105.234,11.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1988-12-14,TanChau,10.804,105.234,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-01-14,TanChau,10.804,105.234,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-02-14,TanChau,10.804,105.234,16.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-03-14,TanChau,10.804,105.234,19.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-04-14,TanChau,10.804,105.234,20.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-05-15,TanChau,10.804,105.234,22.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-06-14,TanChau,10.804,105.234,16.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1989-07-14,TanChau,10.804,105.234,14.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
