date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type,precip_mm,temp_max_c,temp_min_c,temp_mean_c,et0_mm,wind_max_ms,rh_pct,radiation_mj
1985-01-01,MyTho,10.36,106.36,,,,,,4.4,29.88064516129032,22.287096774193547,25.45483870967742,126.87,3.334516129032258,76.16129032258064,580.8100000000001
1985-02-01,MyTho,10.36,106.36,,,,,,39.8,31.289285714285715,23.821428571428573,26.75714285714286,131.02,3.9192857142857145,76.10714285714286,579.33
1985-03-01,MyTho,10.36,106.36,,,,,,64.1,31.706451612903226,24.43548387096774,27.38064516129032,158.98,3.8454838709677417,74.12903225806451,692.03
1985-04-01,MyTho,10.36,106.36,,,,,,187.4,31.90666666666667,24.59333333333333,27.48,133.72,3.189,80.9,607.0
1985-05-01,MyTho,10.36,106.36,,,,,,279.0,30.490322580645163,24.219354838709677,26.664516129032258,113.69,2.855483870967742,88.6774193548387,558.97
1985-06-01,MyTho,10.36,106.36,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,139.1,30.276666666666664,24.740000000000002,26.84333333333333,113.35,4.805666666666666,84.83333333333333,528.69
1985-07-01,MyTho,10.36,106.36,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,254.3,29.91290322580645,23.95483870967742,26.161290322580644,115.86,3.6503225806451614,86.45161290322581,562.19
1985-08-01,MyTho,10.36,106.36,16.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,210.0,30.003225806451614,24.17096774193548,26.154838709677417,113.08,4.583225806451613,87.0,553.89
1985-09-01,MyTho,10.36,106.36,12.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,352.2,29.6,23.586666666666666,25.67,98.75,3.583666666666667,89.8,489.8
1985-10-01,MyTho,10.36,106.36,15.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,374.8,29.458064516129035,23.206451612903226,25.532258064516128,97.78999999999999,2.5258064516129033,90.58064516129032,486.02
1985-11-01,MyTho,10.36,106.36,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,201.20000000000002,29.163333333333334,23.083333333333332,25.493333333333332,88.17,2.749,89.93333333333334,438.2
1985-12-01,MyTho,10.36,106.36,13.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,101.7,28.138709677419353,21.629032258064516,24.493548387096773,97.9,2.6874193548387098,85.7741935483871,492.0
1986-01-01,MyTho,10.36,106.36,8.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,30.099999999999998,28.283870967741933,21.083870967741937,24.261290322580646,107.81,2.7903225806451615,81.54838709677419,531.93
1986-02-01,MyTho,10.36,106.36,8.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,35.6,29.625,22.375,25.3,120.15,3.3835714285714285,78.0,561.33
1986-03-01,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,16.5,31.809677419354838,23.40967741935484,26.806451612903224,160.0,3.770322580645161,73.48387096774194,709.53
1986-04-01,MyTho,10.36,106.36,24.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,51.3,32.416666666666664,25.176666666666666,28.123333333333335,155.82,3.9836666666666667,75.96666666666667,685.66
1986-05-01,MyTho,10.36,106.36,24.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,190.3,31.274193548387096,25.074193548387097,27.38064516129032,123.13,4.280645161290322,83.7741935483871,568.4
1986-06-01,MyTho,10.36,106.36,16.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,208.8,30.743333333333332,24.543333333333333,26.763333333333332,111.44,3.8089999999999997,87.36666666666666,543.01
1986-07-01,MyTho,10.36,106.36,11.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,280.3,29.98709677419355,24.287096774193547,26.26774193548387,109.29,4.155806451612904,88.12903225806451,537.97
1986-08-01,MyTho,10.36,106.36,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,284.8,29.700000000000003,24.42258064516129,26.193548387096776,102.36,4.77483870967742,87.6774193548387,490.07
1986-09-01,MyTho,10.36,106.36,10.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,354.1,29.8,23.496666666666666,25.673333333333336,98.3,3.2356666666666665,90.23333333333333,485.2
1986-10-01,MyTho,10.36,106.36,13.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,336.4,29.396774193548385,23.361290322580647,25.716129032258067,97.37,2.5012903225806453,90.83870967741936,485.92
1986-11-01,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,191.1,28.873333333333335,22.816666666666666,25.233333333333334,92.99,2.819666666666667,86.66666666666667,451.78999999999996
1986-12-01,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,34.2,28.838709677419356,21.948387096774194,25.11935483870968,110.13,3.026774193548387,82.51612903225806,536.3
1987-01-01,MyTho,10.36,106.36,13.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,5.4,30.351612903225806,22.52258064516129,25.787096774193547,131.07,3.2506451612903224,73.90322580645162,591.66
1987-02-01,MyTho,10.36,106.36,20.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,4.0,30.764285714285712,22.510714285714283,25.814285714285713,132.78,3.9699999999999998,72.32142857142857,582.55
1987-03-01,MyTho,10.36,106.36,19.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,26.1,32.58709677419355,24.432258064516127,27.68064516129032,166.68,4.065483870967742,73.19354838709677,713.46
1987-04-01,MyTho,10.36,106.36,353.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,36.9,33.690000000000005,25.803333333333335,28.94,166.89,4.060666666666667,72.63333333333334,700.66
1987-05-01,MyTho,10.36,106.36,480.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,103.5,33.935483870967744,25.75483870967742,28.98709677419355,149.89000000000001,3.1877419354838707,76.51612903225806,666.62
1987-06-01,MyTho,10.36,106.36,79.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,317.7,30.68,24.916666666666668,26.86,96.09,3.845666666666667,89.2,463.71
1987-07-01,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,190.3,30.58709677419355,24.851612903225806,26.838709677419356,114.8,4.402903225806452,85.90322580645162,545.58
1987-08-01,MyTho,10.36,106.36,15.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,289.5,30.35483870967742,24.174193548387095,26.425806451612903,109.02,3.5796774193548386,88.51612903225806,530.5
1987-09-01,MyTho,10.36,106.36,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,254.8,30.19333333333333,24.336666666666666,26.459999999999997,105.4,3.478,88.1,512.22
1987-10-01,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,240.1,30.370967741935484,23.906451612903226,26.40967741935484,106.34,2.323225806451613,89.45161290322581,523.27
1987-11-01,MyTho,10.36,106.36,55.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,259.6,29.540000000000003,23.763333333333332,25.990000000000002,87.51,2.877333333333333,89.93333333333334,431.84000000000003
1987-12-01,MyTho,10.36,106.36,18.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,45.7,28.606451612903225,21.748387096774195,24.816129032258065,110.58,2.9419354838709677,79.70967741935483,526.47
1988-01-01,MyTho,10.36,106.36,16.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,9.299999999999999,30.725806451612904,23.13225806451613,26.335483870967742,128.35,2.95,78.35483870967742,594.18
1988-02-01,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,22.2,31.482758620689655,23.900000000000002,26.95862068965517,137.44,3.856551724137931,74.13793103448276,598.12
1988-03-01,MyTho,10.36,106.36,19.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,14.5,33.34516129032258,24.990322580645163,28.258064516129032,170.32,4.026774193548387,71.90322580645162,717.55
1988-04-01,MyTho,10.36,106.36,797.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,94.9,32.986666666666665,25.64333333333333,28.61,147.41,3.5263333333333335,76.9,642.54
1988-05-01,MyTho,10.36,106.36,45.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,261.6,31.283870967741933,25.187096774193545,27.480645161290322,116.75,3.339677419354839,86.90322580645162,556.95
1988-06-01,MyTho,10.36,106.36,34.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,237.4,30.366666666666667,24.75,26.816666666666666,108.7,3.9320000000000004,87.1,520.36
1988-07-01,MyTho,10.36,106.36,19.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,284.8,30.248387096774195,24.32903225806452,26.493548387096773,111.55,3.388709677419355,88.25806451612904,545.73
1988-08-01,MyTho,10.36,106.36,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,254.2,30.561290322580643,24.248387096774195,26.606451612903225,117.13,3.1729032258064516,88.12903225806451,576.01
1988-09-01,MyTho,10.36,106.36,15.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,343.3,30.326666666666664,24.029999999999998,26.263333333333332,102.3,3.0260000000000002,90.16666666666667,503.39
1988-10-01,MyTho,10.36,106.36,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,258.9,29.351612903225806,23.467741935483872,25.603225806451615,92.91,3.2983870967741935,89.64516129032258,453.6
1988-11-01,MyTho,10.36,106.36,12.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,111.2,28.646666666666665,22.493333333333332,25.196666666666665,98.51,3.3506666666666667,84.2,466.71
1988-12-01,MyTho,10.36,106.36,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,25.6,28.80322580645161,21.177419354838708,24.677419354838708,114.84,2.579354838709677,79.3225806451613,562.96
1989-01-01,MyTho,10.36,106.36,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,10.399999999999999,30.770967741935483,23.316129032258065,26.425806451612903,135.98,3.646774193548387,74.48387096774194,599.99
1989-02-01,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,3.0999999999999996,30.957142857142856,21.885714285714283,25.603571428571428,134.44,3.8682142857142856,71.82142857142857,595.74
1989-03-01,MyTho,10.36,106.36,48.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,79.0,30.86774193548387,23.66774193548387,26.55806451612903,140.77,3.264838709677419,77.38709677419355,634.7
1989-04-01,MyTho,10.36,106.36,38.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,53.5,32.41,24.826666666666664,28.013333333333332,145.27,3.0349999999999997,78.03333333333333,658.94
1989-05-01,MyTho,10.36,106.36,32.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,271.5,31.312903225806455,24.893548387096775,27.296774193548387,118.44,3.3248387096774192,85.0,556.41
1989-06-01,MyTho,10.36,106.36,19.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,182.6,30.673333333333336,24.576666666666664,26.793333333333333,114.55,3.7819999999999996,86.13333333333334,550.11
1989-07-01,MyTho,10.36,106.36,26.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,269.7,30.106451612903225,24.27741935483871,26.467741935483872,113.35,3.649677419354839,87.64516129032258,552.5
1989-08-01,MyTho,10.36,106.36,12.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,256.9,30.23548387096774,24.42258064516129,26.374193548387098,115.56,4.633870967741935,86.3225806451613,558.14
1989-09-01,MyTho,10.36,106.36,16.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,259.1,30.396666666666665,23.926666666666666,26.23,110.67,3.5476666666666663,87.63333333333334,541.74
1989-10-01,MyTho,10.36,106.36,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,334.4,29.44516129032258,23.348387096774193,25.561290322580643,93.77,2.765806451612903,90.6774193548387,464.48
1989-11-01,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,119.9,29.626666666666665,22.923333333333336,25.876666666666665,107.56,2.813,84.03333333333333,524.93
1989-12-01,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,11.4,29.654838709677417,21.948387096774194,25.361290322580647,119.47,2.9029032258064515,76.51612903225806,557.29
1990-01-01,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,3.4,30.580645161290324,22.751612903225805,25.96451612903226,135.16,3.539677419354839,73.7741935483871,600.24
1990-02-01,MyTho,10.36,106.36,16.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,0.6000000000000001,31.817857142857143,23.614285714285717,26.789285714285715,147.95,4.2160714285714285,70.85714285714286,623.8
1990-03-01,MyTho,10.36,106.36,152.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,5.6,32.65161290322581,24.603225806451615,27.748387096774195,169.45,4.1896774193548385,70.70967741935483,708.78
1990-04-01,MyTho,10.36,106.36,47.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,25.3,34.38333333333333,26.11,29.476666666666667,163.99,4.014666666666667,71.7,669.53
1990-05-01,MyTho,10.36,106.36,221.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,157.0,32.79354838709678,25.683870967741935,28.551612903225806,136.3,3.4461290322580647,79.03225806451613,607.79
1990-06-01,MyTho,10.36,106.36,22.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,202.5,30.7,25.196666666666665,27.11,105.8,4.240333333333333,86.43333333333334,491.74
1990-07-01,MyTho,10.36,106.36,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,163.7,30.75483870967742,24.85483870967742,26.996774193548386,126.78999999999999,4.4238709677419354,84.09677419354838,600.01
1990-08-01,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,269.3,29.925806451612903,24.62258064516129,26.490322580645163,110.05,4.6819354838709675,87.25806451612904,528.64
1990-09-01,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,292.6,30.293333333333333,24.209999999999997,26.33,104.27,3.7253333333333334,88.13333333333334,505.38
1990-10-01,MyTho,10.36,106.36,16.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,263.3,29.870967741935484,23.799999999999997,26.135483870967743,101.55,2.9451612903225803,88.83870967741936,495.55
1990-11-01,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,162.7,29.31,22.983333333333334,25.529999999999998,98.78,2.8560000000000003,86.66666666666667,485.39
1990-12-01,MyTho,10.36,106.36,17.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,13.2,29.948387096774194,22.406451612903226,25.700000000000003,123.2,3.017741935483871,77.58064516129032,577.44
1991-01-01,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,7.5,30.996774193548386,23.270967741935483,26.403225806451612,136.48,3.4638709677419355,73.19354838709677,600.62
1991-02-01,MyTho,10.36,106.36,25.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,1.2,31.442857142857143,23.389285714285712,26.682142857142857,131.35,3.5778571428571424,72.92857142857143,573.09
1991-03-01,MyTho,10.36,106.36,50.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,43.7,31.68064516129032,23.94516129032258,27.048387096774192,158.86,4.0283870967741935,73.06451612903226,690.02
1991-04-01,MyTho,10.36,106.36,211.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,60.9,32.843333333333334,24.96333333333333,28.19333333333333,154.96,3.54,75.53333333333333,683.38
1991-05-01,MyTho,10.36,106.36,96.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,151.8,32.07419354838709,25.270967741935483,28.096774193548388,132.97,2.890967741935484,81.96774193548387,615.35
1991-06-01,MyTho,10.36,106.36,41.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,238.4,30.936666666666667,25.103333333333335,27.33,109.26,3.613,85.96666666666667,513.27
