date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1985-07-26,4254.796,13.5,8.64,4351.161,4732.0996,5129.2803,5162.5303,5296.633,4721.369,7163.633,4369.232096354167,4725.241768973215,5128.780412946428
1985-07-27,4140.6387,13.629999999999999,8.7232,4254.796,4501.7393,4988.3066,5119.3096,5321.9883,4849.6104,6920.5215,4248.865234375,4585.431640625,5044.398297991072
1985-07-28,4005.503,13.76,8.8064,4140.6387,4351.161,4732.0996,5129.2803,5512.542,4936.3203,6466.6875,4133.645833333333,4424.892020089285,4936.752650669643
1985-07-29,3915.288,13.89,8.8896,4005.503,4254.796,4501.7393,4988.3066,5778.409,4906.1787,6047.2695,4020.4765625,4271.603655133928,4803.672572544643
1985-07-30,3950.3623,14.02,8.9728,3915.288,4140.6387,4351.161,4732.0996,5859.576,4935.7803,5798.335,3957.0511067708335,4159.926897321428,4667.300153459822
1985-07-31,4177.417,14.15,9.056000000000001,3950.3623,4005.503,4254.796,4501.7393,5697.6533,5091.627,5555.836,4014.3557942708335,4113.595145089285,4558.711844308035
1985-08-01,4585.4805,14.280000000000001,9.1392,4177.417,3915.288,4140.6387,4351.161,5393.534,5232.0635,5301.0146,4237.753255208333,4147.0693359375,4500.993722098215
1985-08-02,5120.3516,14.41,9.2224,4585.4805,3950.3623,4005.503,4254.796,5162.5303,5296.633,5042.957,4627.749674479167,4270.720145089285,4497.98095703125
1985-08-03,5755.495,14.540000000000001,9.3056,5120.3516,4177.417,3915.288,4140.6387,5119.3096,5321.9883,4804.1016,5153.775716145833,4501.413922991072,4543.422781808035
1985-08-04,6364.748,14.67,9.3888,5755.495,4585.4805,3950.3623,4005.503,5129.2803,5512.542,4721.369,5746.864908854167,4838.448939732143,4631.670479910715
1985-08-05,6531.005,14.8,9.472,6364.748,5120.3516,4177.417,3915.288,4988.3066,5778.409,4849.6104,6217.082682291667,5212.122767857143,4741.863211495535
1985-08-06,6486.749,14.93,9.5552,6531.005,5755.495,4585.4805,3950.3623,4732.0996,5859.576,4936.3203,6460.833984375,5574.463727678572,4867.1953125
1985-08-07,6316.7266,15.06,9.6384,6486.749,6364.748,5120.3516,4177.417,4501.7393,5697.6533,4906.1787,6444.826822916667,5880.079380580357,4996.837262834822
1985-08-08,6054.802,15.190000000000001,9.7216,6316.7266,6531.005,5755.495,4585.4805,4351.161,5393.534,4935.7803,6286.092447916667,6089.982421875,5118.52587890625
1985-08-09,5787.698,15.32,9.8048,6054.802,6486.749,6364.748,5120.3516,4254.796,5162.5303,5091.627,6053.075520833333,6185.317661830357,5228.018903459822
1985-08-10,5922.2666,15.450000000000001,9.888,5787.698,6316.7266,6531.005,5755.495,4140.6387,5119.3096,5232.0635,5921.5888671875,6209.142159598215,5355.278041294643
1985-08-11,6895.2305,15.580000000000002,9.9712,5922.2666,6054.802,6486.749,6364.748,4005.503,5129.2803,5296.633,6201.731770833333,6284.925362723215,5561.687151227678
1985-08-12,7627.449,15.71,10.054400000000001,6895.2305,5787.698,6316.7266,6531.005,3915.288,4988.3066,5321.9883,6814.982096354167,6441.560267857143,5826.841517857143
1985-08-13,7922.4736,15.84,10.137599999999999,7627.449,5922.2666,6054.802,6486.749,3950.3623,4732.0996,5512.542,7481.7177734375,6646.663783482143,6110.563755580357
1985-08-14,8129.082,15.97,10.2208,7922.4736,6895.2305,5787.698,6316.7266,4177.417,4501.7393,5778.409,7893.001627604167,6905.571707589285,6392.825544084822
1985-08-15,8012.7812,16.1,10.304,8129.082,7627.449,5922.2666,6054.802,4585.4805,4351.161,5859.576,8021.445638020833,7185.283063616072,6637.632742745535
1985-08-16,7578.4053,15.985714285714288,10.230857142857143,8012.7812,7922.4736,6895.2305,5787.698,5120.3516,4254.796,5697.6533,7906.756184895833,7441.098353794643,6813.2080078125
1985-08-17,7146.4717,15.871428571428572,10.157714285714286,7578.4053,8129.082,7627.449,5922.2666,5755.495,4140.6387,5393.534,7579.219401041667,7615.984793526785,6912.5634765625
1985-08-18,6790.8037,15.757142857142858,10.08457142857143,7146.4717,8012.7812,7922.4736,6895.2305,6364.748,4005.503,5162.5303,7171.8935546875,7601.066685267857,6942.996023995535
1985-08-19,6442.176,15.642857142857144,10.011428571428572,6790.8037,7578.4053,8129.082,7627.449,6531.005,3915.288,5119.3096,6793.150390625,7431.741908482143,6936.651088169643
1985-08-20,6121.494,15.52857142857143,9.938285714285714,6442.176,7146.4717,8012.7812,7922.4736,6486.749,3950.3623,5129.2803,6451.4912109375,7174.459123883928,6910.561453683035
1985-08-21,5960.37,15.414285714285715,9.865142857142857,6121.494,6790.8037,7578.4053,8129.082,6316.7266,4177.417,4988.3066,6174.680013020833,6864.643136160715,6885.107421875
1985-08-22,5940.12,15.3,9.792,5960.37,6442.176,7146.4717,8012.7812,6054.802,4585.4805,4732.0996,6007.328125,6568.548688616072,6876.915876116072
1985-08-23,5993.258,15.185714285714287,9.718857142857143,5940.12,6121.494,6790.8037,7578.4053,5787.698,5120.3516,4501.7393,5964.582682291667,6342.099051339285,6891.598702566965
1985-08-24,6174.0938,15.071428571428573,9.645714285714286,5993.258,5960.37,6442.176,7146.4717,5922.2666,5755.495,4351.161,6035.823893229167,6203.187918526785,6909.586356026785
