date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1,TanChau_Discharge_lag_2,MyTho_Salinity_lag_1,Month
1985-07-01,5229.748,12.2,7.808,3049.04,1796.593,7.808,7
1985-08-01,6520.703,16.1,10.304,5229.748,3049.04,7.808,8
1985-09-01,6993.7725,12.1,7.744,6520.703,5229.748,10.304,9
1985-10-01,5942.2783,15.3,9.792,6993.7725,6520.703,7.744,10
1985-11-01,2830.018,13.4,8.576,5942.2783,6993.7725,9.792,11
1985-12-01,1927.5829,13.9,8.896,2830.018,5942.2783,8.576,12
1986-01-01,711.61066,8.2,5.247999999999999,1927.5829,2830.018,8.896,1
1986-02-01,394.7535,8.9,5.696000000000001,711.61066,1927.5829,5.247999999999999,2
1986-03-01,279.41528,17.0,10.88,394.7535,711.61066,5.696000000000001,3
1986-04-01,216.44559,24.1,15.424000000000001,279.41528,394.7535,10.88,4
1986-05-01,1344.8071,24.6,15.744000000000002,216.44559,279.41528,15.424000000000001,5
1986-06-01,3569.338,16.6,10.624,1344.8071,216.44559,15.744000000000002,6
1986-07-01,5675.384,11.4,7.296,3569.338,1344.8071,10.624,7
1986-08-01,7795.673,14.7,9.408,5675.384,3569.338,7.296,8
1986-09-01,8439.644,10.5,6.72,7795.673,5675.384,9.408,9
1986-10-01,5636.6426,13.0,8.32,8439.644,7795.673,6.72,10
1986-11-01,3403.8713,14.0,8.96,5636.6426,8439.644,8.32,11
1986-12-01,1702.208,15.1,9.664,3403.8713,5636.6426,8.96,12
1987-01-01,656.5348,13.6,8.704,1702.208,3403.8713,9.664,1
1987-02-01,385.40405,20.2,12.927999999999999,656.5348,1702.208,8.704,2
1987-03-01,274.33862,19.1,12.224000000000002,385.40405,656.5348,12.927999999999999,3
1987-04-01,209.55853,353.0,225.92000000000002,274.33862,385.40405,12.224000000000002,4
1987-05-01,366.1035,480.0,307.2,209.55853,274.33862,225.92000000000002,5
1987-06-01,1743.9341,79.7,51.008,366.1035,209.55853,307.2,6
1987-07-01,3664.7896,15.8,10.112,1743.9341,366.1035,51.008,7
1987-08-01,6021.9116,15.9,10.176,3664.7896,1743.9341,10.112,8
1987-09-01,8658.629,13.3,8.512,6021.9116,3664.7896,10.176,9
1987-10-01,5893.426,15.1,9.664,8658.629,6021.9116,8.512,10
1987-11-01,2921.9304,55.8,35.711999999999996,5893.426,8658.629,9.664,11
1987-12-01,2096.4468,18.0,11.52,2921.9304,5893.426,35.711999999999996,12
1988-01-01,649.93744,16.5,10.56,2096.4468,2921.9304,11.52,1
1988-02-01,378.28577,17.0,10.88,649.93744,2096.4468,10.56,2
1988-03-01,290.89423,19.1,12.224000000000002,378.28577,649.93744,10.88,3
1988-04-01,241.47673,797.0,510.08,290.89423,378.28577,12.224000000000002,4
1988-05-01,984.19666,45.3,28.991999999999997,241.47673,290.89423,510.08,5
1988-06-01,3701.947,34.9,22.336,984.19666,241.47673,28.991999999999997,6
1988-07-01,3264.6602,19.3,12.352,3701.947,984.19666,22.336,7
1988-08-01,5404.044,12.2,7.808,3264.6602,3701.947,12.352,8
1988-09-01,4989.0264,15.4,9.856,5404.044,3264.6602,7.808,9
1988-10-01,6139.916,13.2,8.448,4989.0264,5404.044,9.856,10
1988-11-01,3917.412,12.6,8.064,6139.916,4989.0264,8.448,11
1988-12-01,1088.0945,13.8,8.832,3917.412,6139.916,8.064,12
1989-01-01,555.7741,14.5,9.28,1088.0945,3917.412,8.832,1
1989-02-01,364.97626,15.2,9.728,555.7741,1088.0945,9.28,2
1989-03-01,284.82,48.7,31.168000000000003,364.97626,555.7741,9.728,3
1989-04-01,434.7964,38.0,24.32,284.82,364.97626,31.168000000000003,4
1989-05-01,884.51794,32.7,20.928,434.7964,284.82,24.32,5
1989-06-01,3621.788,19.0,12.16,884.51794,434.7964,20.928,6
1989-07-01,4522.5957,26.9,17.216,3621.788,884.51794,12.16,7
