Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019805,Conductivity,Water Quality,1985-06-26T00:00+07:00,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1985-07-16T00:00+07:00,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1985-08-15T00:00+07:00,16.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1985-09-19T00:00+07:00,12.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1985-10-15T00:00+07:00,15.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1985-11-15T00:00+07:00,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1985-12-17T00:00+07:00,13.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-01-15T00:00+07:00,8.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-02-15T00:00+07:00,8.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-03-14T00:00+07:00,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-04-14T00:00+07:00,24.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-05-15T00:00+07:00,24.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-06-15T00:00+07:00,16.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-07-15T00:00+07:00,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-08-14T00:00+07:00,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-09-14T00:00+07:00,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-10-14T00:00+07:00,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-11-14T00:00+07:00,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1986-12-14T00:00+07:00,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-01-15T00:00+07:00,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-02-15T00:00+07:00,20.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-03-15T00:00+07:00,19.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-04-15T00:00+07:00,353.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-05-15T00:00+07:00,480.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-06-15T00:00+07:00,79.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-07-15T00:00+07:00,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-08-14T00:00+07:00,15.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-09-15T00:00+07:00,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-10-15T00:00+07:00,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-11-15T00:00+07:00,55.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1987-12-15T00:00+07:00,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-01-15T00:00+07:00,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-02-15T00:00+07:00,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-03-15T00:00+07:00,19.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-04-15T00:00+07:00,797.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-05-15T00:00+07:00,45.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-06-15T00:00+07:00,34.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-07-15T00:00+07:00,19.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-08-15T00:00+07:00,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-09-15T00:00+07:00,15.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-10-15T00:00+07:00,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-11-15T00:00+07:00,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1988-12-15T00:00+07:00,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-01-14T00:00+07:00,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-02-15T00:00+07:00,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-03-15T00:00+07:00,48.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-04-14T00:00+07:00,38.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-05-15T00:00+07:00,32.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-06-15T00:00+07:00,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-07-14T00:00+07:00,26.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-08-15T00:00+07:00,12.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-09-15T00:00+07:00,16.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-10-14T00:00+07:00,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-11-15T00:00+07:00,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1989-12-15T00:00+07:00,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-01-14T00:00+07:00,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-02-14T00:00+07:00,16.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-03-15T00:00+07:00,152.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-04-14T00:00+07:00,47.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-05-14T00:00+07:00,221.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-06-14T00:00+07:00,22.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-07-14T00:00+07:00,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-08-14T00:00+07:00,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-09-14T00:00+07:00,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-10-14T00:00+07:00,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-11-14T00:00+07:00,15.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1990-12-15T00:00+07:00,17.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-01-15T00:00+07:00,15.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-02-09T00:00+07:00,25.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-03-15T00:00+07:00,50.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-04-15T00:00+07:00,211.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-05-15T00:00+07:00,96.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-06-15T00:00+07:00,41.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-07-15T00:00+07:00,24.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-08-15T00:00+07:00,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-09-15T00:00+07:00,31.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-10-15T00:00+07:00,19.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-11-15T00:00+07:00,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1991-12-15T00:00+07:00,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-01-15T00:00+07:00,17.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-02-15T00:00+07:00,42.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-03-15T00:00+07:00,24.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-04-15T00:00+07:00,42.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-05-15T00:00+07:00,259.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-06-14T00:00+07:00,70.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-07-14T00:00+07:00,25.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-08-15T00:00+07:00,23.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-09-15T00:00+07:00,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-10-15T00:00+07:00,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-11-14T00:00+07:00,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1992-12-14T00:00+07:00,14.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-01-15T00:00+07:00,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-02-15T00:00+07:00,18.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-03-15T00:00+07:00,165.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-04-15T00:00+07:00,535.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-05-15T00:00+07:00,58.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-06-15T00:00+07:00,27.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-07-15T00:00+07:00,22.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-08-15T00:00+07:00,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-09-15T00:00+07:00,17.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-10-15T00:00+07:00,18.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-11-15T00:00+07:00,14.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1993-12-15T00:00+07:00,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-01-15T00:00+07:00,18.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-02-15T00:00+07:00,80.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-03-15T00:00+07:00,451.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-04-15T00:00+07:00,699.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-05-15T00:00+07:00,73.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-06-15T00:00+07:00,32.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-07-15T00:00+07:00,18.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-08-15T00:00+07:00,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-09-15T00:00+07:00,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-10-15T00:00+07:00,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-11-15T00:00+07:00,16.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1994-12-15T00:00+07:00,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-01-15T00:00+07:00,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-02-15T00:00+07:00,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-03-15T00:00+07:00,52.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-04-15T00:00+07:00,93.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
