station,lat,lon,date,precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,et0_fao_evapotranspiration,windspeed_10m_max,relative_humidity_2m_mean,shortwave_radiation_sum
MyTho,10.36,106.36,1985-01-01,0.0,30.0,20.9,24.9,4.08,2.72,77,19.62
MyTho,10.36,106.36,1985-01-02,0.0,30.4,20.2,25.2,4.06,2.97,79,19.52
MyTho,10.36,106.36,1985-01-03,0.1,29.9,21.9,25.4,3.48,2.76,79,16.23
MyTho,10.36,106.36,1985-01-04,0.3,27.1,23.3,24.7,2.28,2.25,81,10.37
MyTho,10.36,106.36,1985-01-05,0.0,28.7,21.8,24.7,2.74,2.3,81,12.91
MyTho,10.36,106.36,1985-01-06,0.2,29.1,21.4,25.0,3.3,2.28,80,16.2
MyTho,10.36,106.36,1985-01-07,0.0,29.9,21.2,25.3,3.91,2.8,78,19.02
MyTho,10.36,106.36,1985-01-08,0.5,29.9,21.9,25.3,3.86,3.2,78,17.98
MyTho,10.36,106.36,1985-01-09,0.0,29.5,22.3,25.2,4.14,2.77,74,19.17
MyTho,10.36,106.36,1985-01-10,0.3,29.3,21.7,25.0,3.85,3.26,78,17.96
MyTho,10.36,106.36,1985-01-11,0.0,29.7,21.8,25.0,4.25,3.11,76,19.78
MyTho,10.36,106.36,1985-01-12,0.1,29.0,22.7,25.0,3.74,3.83,78,16.9
MyTho,10.36,106.36,1985-01-13,0.7,28.8,22.6,24.9,3.65,3.82,79,16.55
MyTho,10.36,106.36,1985-01-14,0.0,29.7,22.6,25.2,4.42,3.67,74,19.37
MyTho,10.36,106.36,1985-01-15,0.0,29.1,22.4,25.1,4.16,3.28,73,18.35
MyTho,10.36,106.36,1985-01-16,0.0,30.5,21.4,25.2,4.58,3.69,74,21.39
MyTho,10.36,106.36,1985-01-17,0.0,30.4,21.7,25.6,4.25,3.05,76,20.2
MyTho,10.36,106.36,1985-01-18,0.3,30.5,22.4,25.7,4.29,2.83,77,20.39
MyTho,10.36,106.36,1985-01-19,0.2,30.1,22.0,25.4,4.15,3.67,78,19.18
MyTho,10.36,106.36,1985-01-20,0.0,30.0,22.2,25.2,3.94,3.42,77,18.0
MyTho,10.36,106.36,1985-01-21,0.0,30.1,22.3,25.5,3.85,2.77,77,17.64
MyTho,10.36,106.36,1985-01-22,0.7,29.8,23.0,25.9,4.09,4.31,75,18.19
MyTho,10.36,106.36,1985-01-23,0.2,30.0,23.9,26.3,4.12,4.14,77,18.24
MyTho,10.36,106.36,1985-01-24,0.0,30.5,23.5,26.3,4.72,3.85,75,21.27
MyTho,10.36,106.36,1985-01-25,0.1,30.8,23.0,26.1,4.77,4.3,73,20.73
MyTho,10.36,106.36,1985-01-26,0.1,30.5,23.0,25.9,4.44,3.37,76,20.3
MyTho,10.36,106.36,1985-01-27,0.2,30.3,22.6,25.9,3.85,3.16,80,17.78
MyTho,10.36,106.36,1985-01-28,0.0,30.3,23.5,26.3,4.78,4.83,73,20.69
MyTho,10.36,106.36,1985-01-29,0.4,31.3,22.8,26.3,4.99,3.61,71,22.1
MyTho,10.36,106.36,1985-01-30,0.0,30.7,22.8,26.1,4.98,3.77,69,21.95
MyTho,10.36,106.36,1985-01-31,0.0,30.4,22.1,25.5,5.15,3.58,68,22.83
MyTho,10.36,106.36,1985-02-01,0.0,31.4,21.6,25.8,5.22,3.66,67,22.84
MyTho,10.36,106.36,1985-02-02,0.0,31.2,21.7,26.1,4.96,3.4,68,21.42
MyTho,10.36,106.36,1985-02-03,0.0,31.0,23.2,26.4,4.71,3.35,72,20.51
MyTho,10.36,106.36,1985-02-04,0.0,30.8,23.7,26.4,4.49,3.97,76,19.7
MyTho,10.36,106.36,1985-02-05,0.5,30.4,23.4,26.4,4.1,3.86,80,18.88
MyTho,10.36,106.36,1985-02-06,0.0,30.9,23.3,26.7,4.17,3.28,81,19.21
MyTho,10.36,106.36,1985-02-07,0.0,31.8,23.7,27.1,4.28,3.0,80,19.67
MyTho,10.36,106.36,1985-02-08,0.5,31.3,23.9,27.1,3.96,2.14,80,18.68
MyTho,10.36,106.36,1985-02-09,0.0,32.4,24.0,27.3,4.72,2.83,78,21.6
