station,lat,lon,date,precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,et0_fao_evapotranspiration,windspeed_10m_max,relative_humidity_2m_mean,shortwave_radiation_sum
TanChau,10.804,105.234,1985-01-01,0.0,30.1,19.4,24.8,4.1,2.09,72,19.81
TanChau,10.804,105.234,1985-01-02,0.0,31.4,20.4,25.9,4.52,2.84,70,21.27
TanChau,10.804,105.234,1985-01-03,0.0,31.4,21.2,26.0,4.25,3.13,72,19.98
TanChau,10.804,105.234,1985-01-04,0.0,29.7,22.2,25.4,3.21,2.34,75,14.17
TanChau,10.804,105.234,1985-01-05,0.0,29.2,21.7,24.9,3.51,2.11,67,15.97
TanChau,10.804,105.234,1985-01-06,0.0,29.9,21.8,25.8,3.39,1.93,71,15.84
TanChau,10.804,105.234,1985-01-07,0.0,30.5,21.3,25.8,3.9,2.22,72,18.62
TanChau,10.804,105.234,1985-01-08,0.0,30.6,21.3,25.8,3.89,2.69,74,18.6
TanChau,10.804,105.234,1985-01-09,0.0,30.3,21.2,25.6,3.87,2.92,73,18.69
TanChau,10.804,105.234,1985-01-10,0.2,29.9,21.4,25.5,3.71,3.22,74,17.32
TanChau,10.804,105.234,1985-01-11,0.0,30.2,20.9,25.6,3.84,3.5,72,17.54
TanChau,10.804,105.234,1985-01-12,0.0,30.6,21.4,25.7,3.8,3.22,74,16.88
TanChau,10.804,105.234,1985-01-13,0.0,30.0,21.9,25.7,3.81,3.62,75,16.75
TanChau,10.804,105.234,1985-01-14,0.1,30.4,21.5,25.7,4.12,3.49,73,18.2
TanChau,10.804,105.234,1985-01-15,0.0,30.8,21.4,25.8,4.24,3.14,70,19.24
TanChau,10.804,105.234,1985-01-16,0.0,31.2,20.7,25.7,4.58,2.95,72,21.48
TanChau,10.804,105.234,1985-01-17,0.0,30.9,21.0,26.0,3.93,2.73,72,18.89
TanChau,10.804,105.234,1985-01-18,0.0,30.9,22.6,26.5,3.98,2.89,76,18.75
TanChau,10.804,105.234,1985-01-19,0.0,30.5,22.4,26.3,3.98,2.93,75,18.27
TanChau,10.804,105.234,1985-01-20,0.0,30.4,22.1,26.2,3.99,2.92,72,18.4
TanChau,10.804,105.234,1985-01-21,0.0,30.6,21.5,26.0,3.6,2.77,73,16.33
TanChau,10.804,105.234,1985-01-22,0.0,31.7,21.6,26.7,4.26,2.88,70,18.47
