station,dahiti_id,target_name,target_lat,target_lon,water_level_m,water_level_err_m,date
TanChau,627,,,,3.241,0.002,2002-06-13 03:05:27
TanChau,627,,,,2.93,0.025,2002-07-18 03:05:27
TanChau,627,,,,4.276,0.022,2002-08-22 03:05:25
TanChau,627,,,,6.376,0.015,2002-09-26 03:05:23
TanChau,627,,,,4.15,0.002,2002-10-31 03:05:28
TanChau,627,,,,3.728,0.026,2002-12-05 03:05:25
TanChau,627,,,,3.017,0.015,2003-01-09 03:05:23
TanChau,627,,,,3.034,0.022,2003-02-13 03:05:21
TanChau,627,,,,3.209,0.003,2003-04-24 03:05:28
TanChau,627,,,,2.878,0.022,2003-05-29 03:05:23
TanChau,627,,,,2.883,0.017,2003-07-03 03:05:30
TanChau,627,,,,3.262,0.001,2003-08-07 03:05:34
TanChau,627,,,,4.238,0.001,2003-09-11 03:05:36
TanChau,627,,,,4.865,0.013,2003-10-16 03:05:32
TanChau,627,,,,3.32,0.008,2003-11-20 03:05:30
TanChau,627,,,,3.348,0.005,2003-12-25 03:05:34
TanChau,627,,,,3.031,0.0,2004-01-29 03:05:30
TanChau,627,,,,3.165,0.114,2004-03-04 03:05:31
TanChau,627,,,,2.999,0.019,2004-04-08 03:05:30
TanChau,627,,,,3.367,0.003,2004-05-13 03:05:31
TanChau,627,,,,2.896,0.03,2004-06-17 03:05:35
TanChau,627,,,,2.88,0.011,2004-07-22 03:05:36
TanChau,627,,,,4.414,0.023,2004-08-26 03:05:33
TanChau,627,,,,4.733,0.083,2004-09-30 03:05:31
TanChau,627,,,,3.93,0.019,2004-11-04 03:05:34
TanChau,627,,,,3.193,0.004,2004-12-09 03:05:31
TanChau,627,,,,2.874,0.002,2005-01-13 03:05:28
TanChau,627,,,,2.901,0.041,2005-02-17 03:05:29
TanChau,627,,,,3.348,0.019,2005-03-24 03:05:29
TanChau,627,,,,3.205,0.006,2005-04-28 03:05:37
TanChau,627,,,,3.161,0.002,2005-06-02 03:05:36
TanChau,627,,,,2.909,0.037,2005-07-07 03:05:38
TanChau,627,,,,4.277,0.017,2005-08-11 03:05:33
TanChau,627,,,,5.796,0.001,2005-09-15 03:05:32
TanChau,627,,,,3.776,0.084,2005-11-24 03:05:31
TanChau,627,,,,3.06,0.002,2005-12-29 03:05:24
TanChau,627,,,,3.023,0.043,2006-02-02 03:05:22
TanChau,627,,,,3.088,0.044,2006-03-09 03:05:22
TanChau,627,,,,2.919,0.016,2006-04-13 03:05:23
TanChau,627,,,,3.072,0.015,2006-05-18 03:05:28
TanChau,627,,,,2.879,0.014,2006-06-22 03:05:31
TanChau,627,,,,3.462,0.006,2006-07-27 03:05:34
TanChau,627,,,,3.919,0.006,2006-10-05 03:05:30
TanChau,627,,,,4.493,0.008,2006-11-09 03:05:31
TanChau,627,,,,2.968,0.015,2007-01-18 03:05:24
TanChau,627,,,,2.889,0.002,2007-02-22 03:05:26
TanChau,627,,,,3.102,0.014,2007-05-03 03:05:27
TanChau,627,,,,3.089,0.006,2007-06-07 03:05:29
TanChau,627,,,,3.526,0.014,2007-07-12 03:05:29
TanChau,627,,,,3.825,0.021,2007-08-16 03:05:29
TanChau,627,,,,4.346,0.204,2007-09-20 03:05:24
TanChau,627,,,,4.588,0.018,2007-10-25 03:05:24
TanChau,627,,,,3.753,0.055,2007-11-29 03:05:20
TanChau,627,,,,3.282,0.008,2008-01-03 03:05:22
TanChau,627,,,,3.176,0.007,2008-03-13 03:05:24
TanChau,627,,,,3.567,0.026,2008-04-17 03:05:22
TanChau,627,,,,3.06,0.003,2008-05-22 03:05:23
TanChau,627,,,,2.799,0.027,2008-06-26 03:05:24
TanChau,627,,,,3.27,0.002,2008-07-31 03:05:24
TanChau,627,,,,4.823,0.104,2008-09-04 03:05:20
TanChau,627,,,,3.251,0.103,2008-10-09 03:05:21
TanChau,627,,,,4.005,0.014,2008-11-13 03:05:19
TanChau,627,,,,3.168,0.003,2008-12-18 03:05:20
TanChau,627,,,,3.17,0.005,2009-01-22 03:05:18
TanChau,627,,,,3.036,0.006,2009-02-26 03:05:21
TanChau,627,,,,2.799,0.053,2009-04-02 03:05:18
TanChau,627,,,,3.074,0.026,2009-05-07 03:05:21
TanChau,627,,,,3.08,0.032,2009-06-11 03:05:23
TanChau,627,,,,2.925,0.0,2009-07-16 03:05:22
TanChau,627,,,,4.159,0.057,2009-08-20 03:05:21
TanChau,627,,,,4.936,0.019,2009-10-29 03:05:16
TanChau,627,,,,3.41,0.028,2009-12-03 03:05:13
TanChau,627,,,,3.198,0.006,2010-01-07 03:05:16
TanChau,627,,,,3.643,0.015,2010-02-11 03:05:14
TanChau,627,,,,3.111,0.128,2010-03-18 03:05:15
TanChau,627,,,,3.116,0.008,2010-04-22 03:05:12
TanChau,627,,,,3.037,0.031,2010-05-27 03:05:12
TanChau,627,,,,3.652,0.105,2010-07-01 03:05:12
TanChau,627,,,,3.662,0.125,2010-10-14 03:05:07
TanChau,627,,,,3.051,0.025,2013-04-13 11:10:15
TanChau,627,,,,2.889,0.003,2013-05-18 11:09:55
TanChau,627,,,,2.813,0.028,2013-06-22 11:09:37
TanChau,627,,,,3.156,0.004,2013-07-27 11:09:15
TanChau,627,,,,3.757,0.021,2013-08-31 11:09:24
TanChau,627,,,,5.195,0.057,2013-10-05 11:09:36
TanChau,627,,,,3.511,0.002,2013-11-09 11:09:35
TanChau,627,,,,2.908,0.016,2013-12-14 11:09:31
TanChau,627,,,,2.924,0.017,2014-01-18 11:09:30
TanChau,627,,,,2.858,0.006,2014-02-22 11:09:29
TanChau,627,,,,3.007,0.034,2014-03-29 11:09:26
TanChau,627,,,,3.112,0.0,2014-05-03 11:09:25
TanChau,627,,,,3.12,0.002,2014-06-07 11:09:23
TanChau,627,,,,3.005,0.033,2014-07-12 11:09:17
TanChau,627,,,,4.18,0.065,2014-08-16 11:09:13
TanChau,627,,,,4.124,0.071,2014-09-20 11:09:12
TanChau,627,,,,2.766,0.028,2014-10-25 11:09:10
TanChau,627,,,,3.149,0.014,2014-11-29 11:09:07
TanChau,627,,,,2.863,0.001,2015-01-03 11:09:03
TanChau,627,,,,2.892,0.028,2015-03-14 11:09:00
TanChau,627,,,,3.274,0.12,2015-04-18 11:09:01
TanChau,627,,,,2.771,0.004,2015-08-01 11:08:36
TanChau,627,,,,3.157,0.012,2015-09-05 11:08:36
TanChau,627,,,,3.062,0.006,2015-11-14 11:08:31
TanChau,627,,,,3.228,0.028,2015-12-19 11:08:19
TanChau,627,,,,3.215,0.001,2016-01-23 11:08:12
TanChau,627,,,,2.707,0.102,2016-02-27 11:08:09
TanChau,627,,,,3.447,0.035,2016-04-02 11:08:10
TanChau,627,,,,2.963,0.02,2016-05-07 11:07:57
